meanfreq,sd,median,Q25,Q75,IQR,skew,kurt,sp.ent,sfm,mode,centroid,meanfun,minfun,maxfun,meandom,mindom,maxdom,dfrange,modindx,label
medium,high,low,medium,high,high,high,high,medium,medium,low,medium,medium,high,low,low,medium,low,low,high,male
low,high,low,medium,low,medium,high,high,low,medium,low,low,medium,low,low,low,low,low,low,high,male
low,high,low,medium,high,high,high,high,medium,high,low,low,medium,low,low,low,low,low,low,medium,male
low,high,low,medium,high,high,high,high,medium,medium,low,low,medium,low,low,low,low,low,low,high,male
low,high,low,low,low,high,medium,high,high,high,low,low,low,low,low,low,low,medium,medium,low,male
low,high,low,low,medium,high,medium,medium,high,high,low,low,low,low,low,low,low,low,low,low,male
low,high,low,low,low,high,medium,high,high,high,low,low,low,low,low,medium,medium,medium,medium,medium,male
low,high,low,low,medium,high,medium,medium,high,high,low,low,low,low,low,low,low,low,low,high,male
low,high,low,low,low,medium,high,high,high,high,low,low,low,low,medium,medium,low,medium,medium,medium,male
low,high,low,low,medium,high,high,high,high,high,low,low,low,low,medium,low,low,low,low,high,male
low,high,low,low,medium,high,low,medium,high,high,low,low,low,low,low,low,medium,low,low,medium,male
low,high,low,low,medium,high,medium,medium,high,high,low,low,low,low,medium,low,low,high,high,low,male
low,high,low,low,low,high,medium,medium,high,high,low,low,low,low,low,low,medium,medium,medium,medium,male
low,high,low,low,low,high,low,medium,high,high,low,low,low,low,low,medium,low,medium,medium,high,male
low,high,low,low,low,high,high,high,high,high,low,low,low,low,low,medium,low,medium,medium,high,male
low,high,low,low,low,high,medium,high,high,high,low,low,low,medium,low,medium,low,medium,medium,high,male
low,high,low,low,low,high,medium,medium,high,high,low,low,low,medium,low,medium,medium,medium,medium,medium,male
low,high,low,low,medium,high,low,medium,high,high,low,low,low,medium,medium,medium,low,low,low,high,male
low,high,low,low,low,high,medium,high,high,high,low,low,low,low,medium,medium,low,medium,medium,high,male
low,high,low,low,low,high,high,high,high,high,low,low,low,medium,medium,medium,low,medium,medium,medium,male
low,high,low,low,medium,high,medium,medium,high,high,low,low,medium,low,medium,medium,low,medium,medium,high,male
low,high,low,low,medium,high,low,low,high,high,low,low,medium,high,low,high,low,medium,medium,high,male
low,high,low,low,low,medium,low,low,high,high,low,low,low,low,low,high,low,medium,medium,high,male
low,high,low,low,low,high,medium,medium,high,high,low,low,low,medium,medium,medium,low,medium,medium,high,male
low,high,low,low,low,high,low,medium,high,high,low,low,low,medium,medium,high,medium,medium,medium,high,male
low,high,low,low,medium,high,medium,medium,high,high,low,low,low,medium,low,medium,low,medium,medium,high,male
low,high,low,low,medium,high,low,low,high,high,low,low,low,low,medium,medium,low,medium,medium,medium,male
low,high,low,low,high,high,low,low,high,high,high,low,low,low,low,medium,low,medium,medium,high,male
low,high,low,low,medium,high,low,medium,high,high,low,low,medium,high,low,low,low,low,low,medium,male
low,high,low,low,medium,high,low,low,high,high,low,low,low,low,low,medium,low,medium,medium,high,male
low,low,low,medium,low,low,high,high,medium,medium,medium,low,medium,low,low,medium,medium,high,high,low,male
low,medium,low,medium,low,medium,medium,medium,high,medium,medium,low,low,low,low,medium,medium,high,high,low,male
medium,medium,low,medium,medium,medium,low,low,medium,medium,medium,medium,medium,low,medium,medium,low,medium,medium,low,male
low,medium,low,medium,low,medium,medium,high,high,high,low,low,medium,low,low,high,low,high,high,low,male
low,medium,low,medium,medium,medium,high,high,medium,medium,low,low,medium,medium,low,low,low,low,low,high,male
low,high,medium,low,medium,high,medium,medium,high,high,low,low,low,low,low,medium,medium,medium,medium,low,male
high,medium,high,high,medium,low,medium,low,medium,medium,low,high,high,low,medium,high,medium,medium,medium,high,male
low,high,low,low,low,high,high,high,medium,high,low,low,low,low,low,low,low,low,low,low,male
medium,medium,medium,medium,medium,medium,low,low,medium,medium,low,medium,medium,medium,low,medium,low,high,high,high,male
medium,medium,low,medium,high,medium,low,low,medium,medium,medium,medium,medium,low,low,medium,medium,high,high,medium,male
medium,medium,medium,medium,medium,medium,low,medium,high,medium,low,medium,medium,low,medium,high,low,high,high,high,male
high,medium,high,high,high,medium,high,high,medium,medium,high,high,medium,low,medium,medium,medium,medium,medium,medium,male
medium,medium,low,medium,medium,medium,low,medium,high,high,low,medium,medium,low,low,medium,low,high,high,high,male
medium,medium,medium,medium,high,medium,low,medium,high,medium,low,medium,medium,medium,medium,high,medium,high,high,high,male
medium,low,low,medium,low,medium,low,low,medium,medium,medium,medium,medium,low,low,high,medium,high,high,high,male
high,medium,high,medium,high,medium,low,low,high,medium,low,high,high,low,medium,high,medium,high,high,high,male
medium,medium,high,medium,medium,medium,high,high,medium,medium,low,medium,low,low,low,low,medium,low,low,medium,male
high,medium,medium,medium,high,medium,high,high,high,medium,low,high,low,low,low,low,medium,low,low,medium,male
medium,medium,medium,medium,medium,medium,high,high,medium,low,low,medium,low,low,low,low,medium,low,low,low,male
medium,medium,high,medium,high,medium,high,high,high,medium,low,medium,low,low,low,low,medium,low,low,medium,male
high,medium,high,medium,high,medium,high,high,high,medium,low,high,low,low,low,low,medium,low,low,low,male
medium,medium,medium,medium,high,medium,high,high,medium,medium,low,medium,low,low,low,low,low,low,low,medium,male
medium,medium,medium,medium,medium,medium,high,high,medium,low,low,medium,low,low,low,low,low,low,low,low,male
high,medium,high,medium,medium,medium,high,high,medium,low,low,high,low,low,medium,low,low,low,low,low,male
high,medium,high,medium,high,medium,high,high,medium,medium,low,high,low,low,low,low,medium,low,low,medium,male
high,medium,high,medium,high,medium,high,high,medium,low,low,high,low,low,low,low,medium,low,low,high,male
low,high,low,low,low,high,high,high,medium,high,low,low,low,low,medium,low,low,low,low,low,male
low,high,low,low,low,high,high,high,medium,high,low,low,low,low,medium,low,low,low,low,low,male
low,high,low,low,low,high,high,high,medium,high,low,low,low,low,low,low,low,low,low,low,male
low,high,low,low,low,high,high,high,medium,high,low,low,low,low,low,low,low,low,low,low,male
low,high,low,low,low,high,high,high,medium,high,low,low,low,low,medium,low,low,low,low,low,male
low,high,low,low,low,high,high,high,medium,high,low,low,low,low,low,low,low,low,low,low,male
low,high,low,low,low,high,high,high,high,high,low,low,low,low,medium,low,low,low,low,low,male
low,high,low,low,low,high,high,high,low,high,low,low,low,low,low,low,low,low,low,low,male
low,high,low,low,low,high,high,high,low,high,low,low,low,low,low,low,low,low,low,low,male
low,high,low,low,low,high,high,high,medium,high,low,low,low,low,medium,low,low,low,low,low,male
low,high,low,low,high,high,medium,medium,medium,high,low,low,low,low,medium,low,low,low,low,medium,male
low,high,low,low,medium,high,low,low,high,high,low,low,low,low,medium,low,low,low,low,high,male
low,high,low,low,low,high,high,high,high,high,low,low,low,low,medium,high,medium,high,high,medium,male
low,high,low,low,medium,high,low,medium,high,high,low,low,medium,low,medium,low,low,low,low,low,male
medium,high,low,low,high,high,medium,medium,high,medium,low,medium,low,low,low,low,low,low,low,low,male
medium,medium,low,medium,medium,medium,low,medium,medium,medium,low,medium,medium,low,medium,low,medium,low,low,medium,male
medium,high,low,medium,high,high,medium,medium,medium,medium,low,medium,medium,medium,low,low,medium,medium,medium,low,male
low,medium,low,low,medium,high,low,low,high,medium,low,low,low,low,low,low,medium,low,low,high,male
medium,high,low,low,high,high,medium,medium,medium,medium,low,medium,low,low,low,high,low,medium,medium,medium,male
low,high,low,low,medium,high,medium,medium,high,medium,low,low,low,low,low,low,medium,low,low,high,male
low,high,low,low,high,high,medium,medium,high,medium,low,low,low,medium,low,medium,low,medium,medium,high,male
low,high,low,low,medium,high,high,high,low,medium,low,low,low,low,low,low,low,low,low,low,male
low,high,low,low,low,high,high,high,low,high,low,low,low,low,low,low,low,low,low,low,male
low,high,low,low,low,high,high,high,high,high,low,low,medium,low,medium,low,low,low,low,medium,male
low,high,low,low,low,medium,high,high,low,medium,low,low,low,low,low,low,low,low,low,low,male
low,high,low,low,low,high,high,high,medium,high,low,low,low,low,low,low,low,low,low,low,male
low,high,low,low,low,high,high,high,high,high,low,low,low,low,low,low,low,low,low,low,male
low,high,low,low,medium,high,high,high,medium,high,low,low,low,low,medium,low,medium,low,low,low,male
medium,high,medium,low,medium,high,high,high,high,medium,low,medium,low,low,low,low,medium,low,low,low,male
low,high,low,low,medium,high,high,high,high,high,low,low,low,low,medium,low,medium,low,low,low,male
low,high,low,low,high,high,high,high,medium,high,low,low,low,low,low,low,medium,low,low,low,male
medium,high,medium,low,high,high,high,high,medium,high,low,medium,low,low,low,low,medium,low,low,low,male
low,high,medium,low,medium,high,high,high,high,high,low,low,low,low,medium,low,medium,low,low,low,male
low,high,medium,low,medium,high,high,high,medium,medium,low,low,low,low,medium,low,medium,low,low,low,male
low,high,low,low,high,high,high,high,medium,high,low,low,low,low,low,low,medium,low,low,low,male
low,high,medium,low,medium,high,high,high,medium,high,low,low,low,low,medium,low,medium,low,low,medium,male
low,high,low,low,medium,high,high,high,medium,high,low,low,low,low,medium,low,medium,low,low,low,male
high,medium,high,medium,high,medium,low,medium,medium,medium,high,high,low,low,medium,medium,medium,medium,medium,high,male
high,medium,high,high,high,medium,medium,medium,medium,low,high,high,low,medium,low,medium,medium,medium,medium,high,male
high,medium,high,high,high,medium,medium,medium,medium,low,high,high,low,medium,medium,medium,medium,high,medium,high,male
high,medium,high,medium,high,medium,medium,medium,medium,low,high,high,low,medium,low,medium,medium,medium,medium,medium,male
high,medium,high,medium,high,medium,high,high,medium,low,high,high,medium,medium,low,medium,medium,medium,medium,high,male
low,high,low,low,low,high,medium,medium,high,high,low,low,low,low,medium,low,low,low,low,high,male
low,high,low,low,low,high,medium,medium,high,high,low,low,low,low,low,low,low,low,low,high,male
low,high,low,low,low,high,low,medium,high,high,low,low,low,low,low,low,low,low,low,medium,male
low,high,low,low,low,high,high,high,high,high,low,low,low,medium,medium,low,low,medium,medium,medium,male
low,high,low,low,low,high,medium,medium,high,high,low,low,low,low,medium,low,low,medium,medium,low,male
low,high,low,low,low,high,low,low,high,high,low,low,low,low,low,low,low,medium,medium,medium,male
low,high,low,low,low,high,medium,medium,high,high,low,low,low,low,medium,low,low,medium,medium,medium,male
low,high,low,low,low,high,high,high,high,high,low,low,low,low,low,low,low,low,low,high,male
low,high,low,low,low,high,medium,medium,high,high,low,low,low,low,medium,low,low,low,low,high,male
low,high,low,low,low,high,medium,medium,high,high,low,low,low,low,medium,low,low,low,low,high,male
low,high,low,low,medium,high,high,high,high,high,low,low,low,low,medium,low,low,low,low,low,male
low,high,low,low,medium,high,high,high,high,high,low,low,low,low,medium,low,low,low,low,low,male
low,high,low,low,low,high,high,high,high,high,low,low,low,low,medium,low,low,low,low,low,male
low,high,low,low,low,high,low,medium,high,high,low,low,low,low,low,low,low,medium,medium,medium,male
low,high,low,low,medium,high,high,high,high,high,low,low,low,low,medium,low,low,low,low,low,male
low,high,low,low,low,high,high,high,medium,high,low,low,low,low,medium,low,low,low,low,low,male
low,high,low,low,low,high,high,high,medium,high,low,low,low,low,medium,low,low,low,low,low,male
low,high,low,low,low,high,high,high,medium,high,low,low,low,low,medium,low,low,low,low,medium,male
low,high,low,low,low,high,high,high,medium,high,low,low,low,low,low,low,low,low,low,low,male
low,high,low,low,low,high,high,high,high,high,low,low,low,low,low,low,low,low,low,low,male
medium,high,medium,low,high,high,high,high,high,high,low,medium,low,low,low,low,medium,low,low,low,male
low,high,low,low,medium,high,high,high,medium,high,low,low,low,low,low,low,medium,low,low,low,male
low,high,low,low,medium,high,high,high,medium,high,low,low,low,low,low,low,medium,low,low,low,male
low,high,low,low,medium,high,high,high,medium,high,low,low,low,low,low,low,medium,low,low,low,male
low,high,low,low,high,high,high,high,medium,high,low,low,low,low,low,low,medium,low,low,low,male
low,high,low,low,medium,high,high,high,high,high,low,low,low,low,low,low,medium,low,low,low,male
low,high,low,low,medium,high,high,high,medium,high,low,low,low,low,low,low,medium,low,low,low,male
low,high,low,low,medium,high,high,high,medium,high,low,low,low,low,low,low,medium,low,low,low,male
low,high,medium,low,medium,high,high,high,medium,medium,low,low,low,low,low,low,medium,low,low,low,male
low,high,medium,low,high,high,high,high,high,high,low,low,low,low,medium,low,medium,low,low,low,male
low,high,medium,low,medium,high,high,high,high,high,low,low,low,medium,low,high,medium,medium,medium,high,male
low,high,medium,low,medium,high,high,high,high,high,low,low,low,low,medium,high,low,high,high,high,male
low,high,low,low,medium,high,medium,high,high,high,low,low,low,low,low,high,low,medium,medium,high,male
low,high,low,low,medium,high,high,high,high,high,low,low,low,low,medium,high,low,medium,medium,high,male
low,high,low,low,low,high,high,high,high,high,low,low,low,medium,medium,medium,low,medium,medium,high,male
low,high,low,low,medium,high,medium,high,high,high,low,low,low,low,medium,high,low,medium,medium,high,male
low,high,low,low,medium,high,high,high,high,high,low,low,low,low,medium,high,low,high,high,high,male
low,high,low,low,medium,high,high,high,high,high,low,low,low,low,low,high,low,medium,medium,high,male
low,high,medium,low,medium,high,high,high,high,high,low,low,low,low,low,high,low,medium,medium,high,male
medium,high,low,medium,high,high,medium,medium,medium,medium,low,medium,low,low,low,low,low,low,low,high,male
low,medium,low,low,low,medium,medium,medium,high,high,low,low,low,low,medium,low,low,medium,medium,medium,male
low,high,low,low,low,medium,high,high,high,high,low,low,low,low,low,low,low,medium,medium,low,male
low,high,low,low,low,high,high,high,high,high,low,low,low,low,medium,low,low,low,low,medium,male
low,high,low,low,medium,high,medium,medium,high,high,low,low,low,medium,medium,medium,low,medium,medium,high,male
low,high,low,low,low,medium,high,high,high,high,low,low,low,low,medium,low,low,low,low,low,male
low,high,low,low,low,medium,high,high,high,high,low,low,low,medium,medium,medium,medium,medium,medium,high,male
low,high,low,low,low,high,high,high,high,high,low,low,low,low,low,medium,low,medium,medium,high,male
low,high,low,low,low,medium,medium,medium,high,high,low,low,low,medium,medium,low,low,medium,medium,low,male
low,high,low,low,low,medium,medium,medium,high,high,low,low,low,low,low,low,low,low,low,low,male
low,high,low,low,low,high,high,high,high,high,low,low,low,low,medium,low,low,low,low,low,male
low,high,low,low,low,high,low,low,high,high,low,low,medium,low,low,low,low,low,low,high,male
low,high,low,low,low,high,low,low,high,high,low,low,low,low,low,low,low,low,low,high,male
low,high,low,low,low,high,low,low,high,high,low,low,medium,low,medium,low,low,low,low,high,male
low,high,low,low,low,high,medium,medium,high,high,low,low,low,low,low,low,low,low,low,low,male
low,high,low,low,low,high,medium,medium,high,high,low,low,low,medium,low,low,low,low,low,high,male
low,high,low,low,low,high,low,low,high,high,low,low,medium,low,medium,low,low,low,low,medium,male
low,high,low,low,low,high,medium,medium,high,high,low,low,low,low,medium,low,low,low,low,high,male
low,high,low,low,low,medium,medium,medium,high,high,low,low,low,low,low,low,low,medium,medium,medium,male
low,high,low,low,low,high,medium,medium,high,high,low,low,low,low,low,low,low,low,low,low,male
low,high,low,low,medium,medium,high,high,medium,high,low,low,low,medium,low,low,low,low,low,medium,male
low,high,low,low,low,high,medium,medium,high,high,low,low,low,low,low,high,low,medium,medium,high,male
low,high,low,low,low,medium,medium,medium,high,high,medium,low,low,medium,low,medium,low,low,low,high,male
low,high,low,low,low,high,medium,medium,high,high,medium,low,low,low,low,medium,low,medium,medium,low,male
low,high,low,low,low,high,medium,medium,high,high,medium,low,low,low,medium,medium,low,medium,high,medium,male
low,high,low,low,low,high,high,high,high,high,medium,low,low,medium,medium,medium,low,medium,medium,medium,male
low,high,low,low,low,high,low,low,high,high,low,low,low,low,medium,high,low,medium,medium,high,male
low,high,low,low,low,medium,medium,medium,high,high,medium,low,low,low,low,high,low,medium,medium,high,male
low,high,low,low,low,high,medium,medium,high,high,medium,low,low,low,medium,medium,low,medium,medium,medium,male
low,high,low,low,medium,high,low,low,high,high,medium,low,low,low,low,medium,low,low,low,high,male
low,high,low,low,low,medium,low,low,high,high,medium,low,low,low,low,medium,low,medium,medium,medium,male
low,high,medium,low,medium,medium,low,low,high,high,high,low,medium,low,low,high,low,medium,medium,high,male
low,high,low,low,medium,high,low,low,high,high,low,low,low,low,low,high,medium,medium,medium,high,male
low,high,medium,low,medium,medium,low,low,high,high,low,low,low,low,low,high,low,medium,medium,high,male
low,high,low,low,medium,high,low,medium,high,high,low,low,low,low,medium,high,low,medium,medium,high,male
medium,medium,high,medium,medium,medium,low,low,high,high,high,medium,low,low,low,high,medium,medium,medium,high,male
low,high,low,low,medium,high,medium,high,high,high,low,low,low,low,low,high,medium,medium,medium,high,male
low,high,medium,low,medium,high,high,high,high,high,low,low,low,high,medium,high,low,medium,medium,high,male
low,high,medium,low,medium,medium,low,low,high,high,medium,low,low,medium,low,high,medium,medium,medium,high,male
low,high,medium,low,low,medium,low,low,high,high,medium,low,low,low,low,high,medium,medium,medium,medium,male
low,high,low,low,low,medium,high,high,high,high,low,low,low,low,low,medium,medium,medium,medium,high,male
medium,high,medium,low,medium,high,low,low,high,high,high,medium,low,low,low,low,low,low,low,high,male
medium,medium,low,low,medium,medium,low,low,high,high,low,medium,low,low,medium,medium,medium,medium,medium,medium,male
medium,high,medium,low,medium,medium,high,high,medium,medium,high,medium,low,low,low,low,low,low,low,high,male
low,high,low,low,medium,high,medium,medium,high,high,high,low,low,medium,low,medium,low,medium,medium,medium,male
medium,medium,high,medium,medium,high,low,low,high,medium,high,medium,low,low,medium,low,medium,low,low,high,male
low,high,medium,low,low,high,medium,medium,high,high,high,low,low,medium,low,low,low,low,low,high,male
medium,medium,medium,low,medium,medium,low,medium,high,medium,high,medium,low,low,medium,low,low,low,low,high,male
medium,medium,high,low,medium,medium,high,high,medium,medium,high,medium,low,medium,low,low,low,low,low,medium,male
medium,high,high,medium,high,high,low,low,high,medium,low,medium,low,low,low,medium,low,medium,medium,medium,male
medium,high,medium,low,medium,medium,low,low,high,high,high,medium,low,low,low,medium,medium,medium,medium,high,male
medium,medium,medium,low,medium,medium,medium,high,high,medium,high,medium,low,low,low,low,low,low,low,high,male
low,high,low,low,low,medium,medium,high,high,high,low,low,low,low,medium,low,low,low,low,medium,male
low,high,low,low,low,high,high,high,high,high,low,low,low,low,low,low,low,low,low,high,male
low,high,low,low,low,high,high,high,high,high,low,low,low,low,medium,low,low,low,low,medium,male
low,high,low,low,low,high,high,high,high,high,low,low,low,low,low,low,low,low,low,high,male
low,high,low,low,low,high,high,high,high,high,low,low,low,low,low,low,low,low,low,high,male
low,high,low,low,medium,high,high,high,medium,high,low,low,low,low,medium,low,low,low,low,high,male
high,medium,high,medium,high,high,medium,medium,low,low,high,high,medium,medium,low,medium,medium,medium,medium,high,male
low,high,low,low,low,high,high,high,high,high,low,low,low,low,medium,low,low,medium,medium,low,male
low,high,low,low,low,high,high,high,high,high,low,low,low,low,medium,low,low,low,low,high,male
low,high,low,low,medium,high,high,high,high,high,low,low,low,low,low,low,low,low,low,high,male
low,high,low,low,low,high,high,high,high,high,low,low,medium,low,medium,low,low,medium,medium,low,male
low,high,low,low,low,high,medium,high,high,high,low,low,low,low,low,low,low,low,low,medium,male
low,high,low,low,low,high,medium,high,high,high,low,low,low,low,medium,low,low,low,low,high,male
low,high,low,low,low,high,high,high,high,high,low,low,low,low,medium,low,low,low,low,low,male
low,high,low,low,low,high,medium,high,high,high,low,low,medium,low,medium,low,low,low,low,high,male
low,high,low,low,low,high,high,high,high,high,low,low,low,low,low,low,low,low,low,high,male
low,high,low,low,low,high,high,high,high,high,low,low,low,low,low,low,low,low,low,medium,male
low,high,low,low,low,high,high,high,high,high,low,low,low,low,low,low,low,low,low,medium,male
low,high,low,low,low,high,high,high,high,high,low,low,low,low,medium,low,low,low,low,high,male
low,high,low,low,low,medium,medium,high,high,high,low,low,low,medium,medium,low,low,low,low,medium,male
low,high,low,low,low,high,high,high,low,high,low,low,low,low,medium,low,low,low,low,low,male
low,high,low,low,low,high,high,high,low,high,low,low,low,low,medium,low,low,low,low,low,male
low,high,low,low,medium,high,high,high,low,high,low,low,low,low,low,low,low,low,low,low,male
low,high,low,low,low,high,high,high,low,high,low,low,low,low,medium,low,low,low,low,low,male
low,high,low,low,low,high,high,high,low,high,low,low,low,low,low,low,low,low,low,low,male
low,high,low,low,low,high,high,high,low,high,low,low,low,low,low,low,low,low,low,low,male
low,high,low,low,low,high,high,high,low,high,low,low,low,low,medium,low,low,low,low,low,male
low,high,low,low,low,high,high,high,low,high,low,low,low,low,medium,low,low,low,low,low,male
low,high,low,low,low,high,high,high,low,high,low,low,low,low,medium,low,low,low,low,low,male
low,high,low,low,low,high,high,high,low,medium,low,low,low,low,low,low,low,low,low,low,male
high,low,high,high,high,low,high,high,low,low,high,high,medium,medium,medium,medium,low,medium,medium,high,male
high,low,high,high,high,low,high,high,low,low,high,high,low,medium,low,low,medium,low,low,low,male
high,low,high,high,high,low,high,high,low,low,high,high,low,low,low,medium,medium,medium,medium,medium,male
high,low,high,high,high,low,high,high,low,low,high,high,medium,low,low,medium,medium,medium,medium,medium,male
high,low,high,high,high,low,high,high,low,low,high,high,medium,high,medium,low,medium,low,low,low,male
high,low,high,high,high,low,high,high,low,low,high,high,medium,medium,low,low,medium,low,low,low,male
high,low,high,high,high,low,high,high,low,low,high,high,medium,low,medium,medium,medium,medium,medium,low,male
high,low,high,high,high,low,high,high,low,low,high,high,low,low,medium,high,medium,medium,medium,medium,male
high,low,high,high,high,low,high,high,low,low,high,high,low,low,low,medium,medium,high,high,medium,male
high,low,high,high,high,low,high,high,low,low,high,high,low,medium,low,low,low,low,low,medium,male
low,high,low,low,low,medium,medium,high,high,high,medium,low,low,low,low,medium,low,medium,medium,high,male
low,high,low,low,medium,high,medium,medium,high,high,low,low,low,low,medium,medium,low,medium,medium,medium,male
low,high,low,low,low,high,medium,medium,high,high,low,low,low,medium,low,low,low,low,low,high,male
low,high,low,low,low,medium,medium,medium,high,high,low,low,low,high,medium,low,low,medium,medium,low,male
low,high,low,low,low,high,medium,medium,high,high,low,low,low,low,medium,low,low,medium,medium,low,male
low,high,low,low,low,high,low,low,high,high,low,low,low,low,medium,low,low,low,low,high,male
low,high,low,low,low,high,low,medium,high,high,low,low,low,low,medium,low,low,low,low,high,male
low,high,low,low,low,medium,medium,high,high,high,low,low,low,low,medium,low,low,medium,medium,low,male
low,high,low,low,low,medium,medium,medium,high,high,low,low,low,low,low,low,low,medium,medium,medium,male
low,high,low,low,medium,high,low,low,high,high,low,low,low,medium,medium,medium,low,medium,medium,high,male
low,high,medium,low,medium,high,high,high,high,high,low,low,low,medium,medium,low,low,low,low,medium,male
low,high,medium,low,medium,high,high,high,high,high,low,low,low,low,low,medium,low,medium,medium,medium,male
low,high,medium,low,medium,high,high,high,high,high,low,low,low,medium,low,medium,low,medium,medium,high,male
low,high,medium,low,medium,high,high,high,high,high,low,low,low,low,low,low,low,low,low,medium,male
low,high,medium,low,medium,high,high,high,high,high,low,low,low,medium,low,low,low,low,low,high,male
low,high,medium,low,medium,high,high,high,high,high,low,low,low,low,low,medium,low,medium,medium,medium,male
low,high,medium,low,medium,high,high,high,high,high,low,low,medium,low,low,medium,low,medium,medium,high,male
low,high,medium,low,medium,high,high,high,medium,high,low,low,low,medium,low,low,low,low,low,high,male
low,high,medium,low,medium,high,high,high,high,high,low,low,low,medium,low,low,low,medium,medium,low,male
low,high,medium,low,medium,high,high,high,high,high,low,low,low,low,medium,medium,low,medium,medium,high,male
low,high,low,low,medium,high,low,medium,high,high,low,low,low,low,low,low,medium,low,low,medium,male
low,high,low,low,low,medium,low,low,high,high,medium,low,low,low,low,medium,medium,medium,medium,high,male
medium,medium,low,medium,medium,medium,low,low,high,medium,low,medium,medium,low,low,low,low,low,low,high,male
low,medium,low,low,medium,medium,low,low,high,medium,low,low,medium,low,medium,low,low,medium,medium,medium,male
low,high,low,low,low,high,high,high,low,medium,low,low,low,low,low,low,low,low,low,medium,male
low,high,low,low,low,low,high,high,low,medium,low,low,low,low,medium,low,low,medium,medium,low,male
low,high,low,low,low,medium,high,high,low,medium,low,low,low,low,medium,low,low,medium,medium,low,male
low,high,low,low,low,high,high,high,medium,high,low,low,low,low,medium,low,low,medium,medium,low,male
low,high,low,low,low,high,high,high,low,medium,low,low,low,low,low,low,low,low,low,low,male
low,high,low,low,low,high,high,high,low,medium,low,low,low,low,low,low,low,low,low,low,male
low,high,low,low,low,high,high,high,low,medium,low,low,low,low,low,low,low,medium,medium,low,male
low,high,low,low,low,high,high,high,low,high,low,low,low,low,low,low,low,low,low,medium,male
